	four	second	reports	music	until	example	want	travel	feature	series	re	wasn	service	needed	project	saying	than	best	country	asked	much	life	worked	things	had	easy	possible	right	old	people	support	happy	inside	time	minute	team	along	love	working	such	data	years	didn	internet	million	quite	open	city	future	san	turned	say	note	take	ways	link	going	where	many	wants	photos	single	being	around	world	power	favorite	her	complete	gone	ad	am	gifts	having	tv	large	small	hours	experience	social	via	company	learn	sense	its	always	found	really	research	major	obama	sell	self	also	play	plan	sometimes	microsoft	set	see	movie	available	last	whole	recent	readers	couple	d	continue	anything	into	line	posted	up	us	ago	try	video	let	great	involved	makes	next	process	high	perfect	could	david	scene	start	haven	fact	bring	should	hope	move	means	stuff	email	co	ve	off	less	web	five	become	does	software	doing	problem	worth	above	told	word	work	interview	after	then	them	they	network	created	another	do	away	terms	com	thanks	night	security	post	months	way	update	together	global	guy	change	usually	extra	live	car	december	heard	write	use	still	now	year	happen	space	looking	shows	card	care	couldn	yourself	online	only	between	article	comes	these	media	food	thinking	real	read	early	using	business	aren	lot	trying	building	month	very	learned	family	ask	takes	taken	site	history	tried	help	soon	actually	systems	event	since	reason	put	american	behind	clear	latest	pretty	during	x	close	won	probably	both	whatever	else	lives	look	while	used	user	game	run	seeing	within	e	go	facebook	click	following	announced	started	control	links	including	him	keep	exactly	need	able	based	course	she	tuesday	well	lost	page	twitter	home	he	stories	star	friends	amp	companies	force	likely	even	tips	ever	never	call	tell	wars	give	amazing	answer	before	personal	better	weeks	went	side	content	isn	matter	mind	seen	don	m	stop	bad	decided	said	against	appeared	three	website	make	left	human	yes	yet	save	deal	popular	super	down	form	finally	did	visit	making	may	grow	man	maybe	talk	nbsp	group	interesting	morning	thing	think	long	little	anyone	were	paid	especially	show	black	get	enough	reading	across	according	doesn	those	different	same	running	money	either	videos	general	film	again	important	u	starting	public	search	two	hour	share	needs	through	late	good	everyone	house	hard	done	least	part	believe	b	build	most	find	please	point	simple	create	understand	fun	itself	spent	spend	source	big	bit	google	often	back	forward	entire	giving	others	later	ll	age	day	red	national	taking	holiday	value	almost	thought	add	works	although	buy	minutes	original	under	every	school	voice	would	phone	must	me	times	end	over	writing	each	driving	got	free	wanted	days	already	top	too	took	past	though	watch	amazon	report	full	however	news	been	several	gave	gift	specific	everything	christmas	why	head	no	longer	level	says	goes	water	today	local	information	name	turn	place	coming	given	white	r	any	ideas	sure	state	outside	come	case	myself	someone	check	week	without	seems	blog	there	idea	program	woman	far	list	design	version	known	rather	short	might	number	feel	story	store	kind	nothing	his	hit	wrote	art	recently	due	holidays	questions	question	fast	called	users	helping	once	issues	include	apple	app	few	something	six	instead	our	york	their	which	who	ones	view	job	gets	half	other	smart	know	because	lead	getting	own	made	book
mezzoblue	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	1	0	0	2	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	5	1	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	1	2	0	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
Eschaton	0	0	0	0	0	0	1	0	0	1	3	4	1	0	1	0	3	0	0	0	2	0	1	0	1	0	1	1	2	15	0	1	0	1	0	1	0	2	0	0	1	1	1	4	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	1	0	1	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	3	0	0	1	1	0	2	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	4	0	0	3	0	0	6	0	0	1	0	1	0	1	1	1	1	1	0	1	0	0	1	0	1	1	2	1	0	0	1	0	0	1	1	2	0	0	0	1	0	0	1	0	0	0	0	0	0	3	1	3	4	0	0	0	3	3	1	0	0	2	0	0	3	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	2	0	3	0	0	0	2	2	0	3	0	2	2	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	4	0	0	1	0	1	1	3	0	1	0	0	0	0	3	3	0	0	1	0	0	1	0	0	0	1	0	1	0	1	1	0	2	1	0	0	1	5	0	3	2	1	1	0	0	0	1	2	0	1	0	1	1	0	0	1	0	0	2	0	0	0	0	0	2	0	0	0	1	3	1	1	0	0	1	4	0	4	0	0	5	1	0	0	0	4	3	0	0	0	2	0	0	2	0	0	1	0	0	0	0	1	1	0	0	1	1	3	1	0	1	0	1	3	0	0	0	5	1	0	1	0	0	0	0	0	1	1	1	1	3	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	1	0	0	0	3	0	0	4	0	0	0	1	0	0	2	0	0	1	1	2	1	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	6	0	1	0	0	7	2	1	0	0	0	0	0	0	0	0	5	0	2	1	0	0	1	0	0	0	0	2	1	0	3	2	0	0	0	1	0	2	0	0	1	2	0	0	3	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	1	6	3	16	2	1	2	1	0	0	0	1	2	3	0	1	2	0
ShoeMoney	1	0	0	0	3	1	3	0	0	0	3	1	2	0	0	0	2	7	0	3	6	2	2	4	9	2	2	3	0	13	0	1	0	9	0	1	1	0	0	0	0	3	2	2	2	0	2	0	0	0	0	2	1	1	0	1	2	1	2	0	0	0	1	1	3	0	1	0	0	0	0	6	0	2	0	0	1	0	3	3	1	2	1	0	7	3	2	5	0	1	0	0	1	1	0	0	0	0	1	4	5	0	3	0	0	0	3	1	0	1	3	0	1	6	1	6	0	0	4	5	0	2	3	1	1	1	0	0	0	3	0	0	0	5	0	1	0	1	2	0	0	5	0	2	0	3	1	0	2	0	1	1	1	0	5	1	1	1	8	9	8	0	0	8	6	0	5	1	0	0	4	1	3	0	0	0	2	1	1	0	2	0	0	2	1	2	3	0	5	1	1	2	0	0	0	0	2	2	5	1	1	3	0	4	0	1	3	3	2	1	8	1	6	0	4	2	5	1	0	3	0	1	4	0	2	1	0	0	0	0	2	0	2	0	0	0	2	2	2	0	0	2	3	0	1	0	0	0	3	2	0	0	0	0	0	0	4	2	2	0	0	6	0	1	0	5	1	0	1	1	0	1	0	0	3	0	1	0	0	11	0	0	0	0	2	0	1	4	2	4	3	1	2	0	1	1	1	5	2	1	2	2	2	2	2	2	2	0	9	2	0	1	0	0	0	0	0	4	3	0	0	1	1	0	0	0	4	2	0	0	4	0	1	4	0	0	0	0	0	0	0	0	4	3	2	1	1	2	2	0	5	0	12	1	0	0	0	3	2	1	1	2	8	0	0	3	1	0	0	0	2	0	0	0	0	4	0	4	0	5	0	0	0	1	1	3	0	0	1	8	5	0	4	0	1	0	1	0	0	0	0	2	1	0	4	7	1	0	2	1	0	4	0	5	0	0	0	0	2	0	2	0	0	1	3	0	1	0	4	1	0	5	3	0	10	1	1	4	1	0	0	3	2	2	0	0	0	2	3	0	4	2	0	0	0	1	0	6	1	0	1	0	0	0	0	2	6	0	0	1	1	0	4	2	1	0	0	1	2	0	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	9	7	2	3	0	0	0	0	0	2	1	1	0	1	2	1	1	1	0	6	0	1	0	2	1	0	2	3	0	3	0	0	2	0	0	4	1	3	4	0	0	6	0	4	2	8	1	0	0	0	0	4	0	5	2	0	1	4	3	0
Slashdot	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	2	3	1	1	0	1	0	0	1	2	0	0	1	0	3	1	0	1	3	0	1	0	0	0	1	1	4	1	5	3	0	0	0	0	0	1	0	0	1	1	0	0	1	1	0	0	0	1	0	5	1	0	0	1	0	0	0	0	0	0	0	0	2	1	0	1	5	1	0	9	0	0	0	3	2	2	0	4	2	0	3	1	4	0	1	0	2	3	0	3	1	0	0	0	0	1	1	1	2	2	1	1	1	0	1	0	0	3	2	0	0	2	0	0	0	0	0	0	1	0	2	1	0	0	1	0	4	0	0	0	0	0	7	1	1	0	0	0	0	1	0	4	1	1	4	0	0	3	1	2	0	1	0	0	5	0	2	5	1	1	0	0	0	0	0	0	2	0	0	0	4	5	1	4	0	0	2	0	0	0	2	0	3	5	2	2	0	1	0	0	0	2	15	1	4	3	0	0	0	1	1	0	0	0	0	0	2	4	0	0	1	0	0	4	0	2	2	2	0	3	1	0	2	0	0	1	1	0	2	0	0	0	0	3	2	1	0	1	0	0	0	1	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	4	0	0	0	1	2	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4	1	0	0	1	2	1	0	0	2	0	0	1	0	2	0	1	1	0	0	2	1	0	0	1	0	1	0	0	1	0	1	1	0	3	0	1	0	0	0	0	0	0	1	1	3	1	2	1	0	0	4	1	0	1	0	2	0	1	1	3	2	0	2	1	0	1	0	1	0	1	4	0	1	0	1	1	0	0	3	1	0	0	0	2	3	0	0	1	1	8	1	0	2	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	0	0	0	2	5	1	0	5	2	0	0	1	3	1	0	0	0	0	0	1	2	0	0	1	3	2	0	0	0	0	3	1	1	2	0	0	2	0	0	1	2	0	0	0	1	0	1	0	0	2	0	2	1	2	1	3	0	0	0	1	1	0	0	4	0	2	0	2	0	1	0	2	1	0	1	0	0	17	1	1	0	6	0	0	0	0	1	0	0	0	1	2	2	0	0	0	0	0	1	0	0	1	0	4	0	3	9	5	2	0	0	2	1	3	0	0	2	0	0	4	3	0
Matt Cutts: Gadgets, Google, and SEO	0	0	0	0	0	1	0	0	0	0	2	0	2	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	5	1	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	1	2	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	1	2	0	0	1	1	0	0	1	0	1	2	0	1	1	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Gothamist	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	1	9	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	3	0	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	3	0	0	2	2	0	0	1	0	1	0	0	2	0	2	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	3	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	4	6	0	0	2	1	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0	0	1	2	0	0	0	2	0	0	0	0	0	1	1	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	2	0	4	0	2	0	0	0	0	0	1	0	0	2	1	0	2	1	0	0	0	0	0	2	0	4	0	0	0	0	1	1	2	1	0	0	3	1	0	1	1	1	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	0	5	1	1	0	1	0	0	0	0	1	0	0	2	2	0	1	0	4	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	1	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	2	0	0	1	2	0	0	0	0	1	1	0	0	3	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	2	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	1	0	1	1	5	0	8	4	4	0	1	0	1	0	2	0	1	3	0	1	0	1	0
BuzzMachine	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	2	3	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	1	0	0	2	1	2	0	0	0	0	1	1	0	3	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	1	3	0	0	3	1	0	1	0	0	0	0	1	2	0	0	0	0	0	2	0	0	2	1	0	0	0	1	0	0	2	1	1	0	4	0	0	3	3	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	1	2	3	1	1	1	2	0	0	4	3	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	3	0	0	0	3	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	2	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	1	1	0	2	0	0	0	1	0	0	1	1	1	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	3	1	0	0	1	2	0	0	0	1	0	2	1	0	0	0	0	1	1	0	0	1	1	0	2	0	1	0	0	0	0	0	1	0	1	5	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	3	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	2	0	0	0	3	1	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	1	0	0	0	1	0	0	2	0	0	0	3	0	0	1	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	2	1	0	6	2	3	0	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0
The Huffington Post | The Full Feed	2	7	2	1	9	2	18	0	1	2	24	1	1	2	147	3	21	20	7	8	16	11	1	6	26	2	1	9	22	35	8	9	2	34	3	1	4	16	4	10	4	21	5	3	8	8	7	10	2	2	3	14	1	9	3	0	14	14	22	4	2	2	20	13	28	8	8	40	2	2	1	11	27	8	8	0	9	6	9	9	76	4	2	5	41	6	5	15	5	3	6	2	2	26	7	5	4	0	16	93	4	1	21	4	2	2	2	11	4	3	33	2	3	43	30	3	7	5	13	6	3	7	8	1	3	2	23	0	2	2	1	8	6	14	19	4	9	1	2	3	12	10	5	0	4	4	7	0	9	3	1	3	15	3	11	0	24	17	44	73	1	3	9	42	5	30	14	4	10	9	33	2	19	1	6	3	1	9	3	2	7	6	26	1	5	34	19	20	54	4	0	7	6	2	0	7	5	2	26	7	1	6	28	8	10	4	11	11	4	2	0	3	7	2	3	8	18	2	27	6	5	3	0	3	2	8	2	8	0	0	11	6	9	15	4	5	2	3	12	0	2	1	0	6	4	3	3	9	17	28	0	6	4	3	1	4	18	17	2	1	3	3	3	1	11	15	17	7	14	3	6	7	39	9	15	3	1	12	20	53	12	1	9	44	1	2	4	14	2	11	13	6	12	2	9	2	8	19	25	10	5	5	1	2	9	4	7	4	25	30	2	4	2	25	3	0	16	25	30	5	4	5	5	2	1	2	5	15	2	5	10	3	6	56	6	5	9	13	0	3	0	10	14	16	7	20	3	34	13	3	10	10	34	9	1	3	10	9	22	5	12	7	3	1	0	3	1	2	8	14	2	6	0	16	2	5	2	16	6	16	9	16	4	3	6	4	17	2	0	19	2	5	6	2	4	1	5	2	2	4	5	12	1	1	3	16	8	2	8	10	2	15	6	19	5	6	5	18	1	10	5	9	0	4	0	0	0	11	17	18	3	35	1	2	30	11	3	20	5	12	1	16	15	1	16	8	3	13	8	11	8	5	0	2	81	9	14	17	4	1	15	3	3	63	43	9	34	4	3	3	4	2	7	2	7	3	8	8	5	5	8	3	20	7	6	16	5	15	6	8	7	3	8	4	6	4	48	3	3	6	8	4	6	0	11	3	1	10	7	6	6	2	4	5	40	4	3	2	2	3	8	11	3	5	9	0	2	5	2	2	0	0	7	10	5	3	88	9	47	13	51	5	2	8	4	3	20	1	16	26	5	7	10	8	3
PerezHilton	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	0	0	1	1	0	0	1	5	0	0	1	1	2	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	2	5	0	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	1	0	1	1	0	0	0	0	2	0	0	0	0	0	0	4	3	0	2	0	0	0	3	0	1	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	5	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	3	2	0	1	0	0	0	1	0	2	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	3	0	0	0	0	0	0	0	6	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	1
Gawker	0	1	3	0	0	0	0	0	0	0	1	1	2	0	0	0	1	3	2	0	0	1	0	2	2	0	0	1	1	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	2	1	1	0	1	1	0	0	0	1	0	1	1	1	2	1	2	0	0	2	0	0	0	1	1	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	2	2	0	0	0	4	0	0	0	0	4	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	1	0	0	0	2	0	0	0	1	2	0	0	7	1	8	2	0	0	2	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	3	0	1	2	1	5	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	0	26	0	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	1	2	0	0	2	0	1	0	1	0	2	2	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	1	0	0	0	0	1	3	0	0	0	0	1	0	8	0	1	1	0	0	0	0	2	4	0	1	4	1	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	2	1	0	3	0	2	1	0	0	0	1	0	0	2	0	0	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	2	1	0	1	1	1	1	0	0	0	5	0	0	2	0	0	0	0	0	1	0	1	0	3	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	1	0	2	0	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	2	0	0	2	2	1	0	0	0	0	4	0	0	4	0	0	0	0	0	4	0	0	0	1	1	0	0	2	1	6	0	0	2	0	0	3	0	0	0	6	0	0	0	2	0	1	3	0	0	0	0	0	0	0	0	1	0	1	0	0	0	10	0	1	0	0	1	2	0	1	0	2	0	0	1	1	0	0	0	0	1	1	0	6	3	1	1	9	0	0	0	0	1	2	0	0	2	0	1	1	0	0
ongoing by Tim Bray	0	0	0	3	0	0	0	0	0	0	12	1	0	0	0	0	3	2	0	0	1	3	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	0	2	4	0	0	0	0	1	0	1	0	0	2	1	0	0	1	0	0	0	2	0	0	2	0	3	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	2	0	0	0	2	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	1	1	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	4	6	1	4	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	4	0	4	0	0	0	0	2	2	3	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	6	0	0	1	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	6	1	0	3	0	0	0	3	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	3	2	0	0	0	0	0	0	0	1	0	1	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	2	0	0	0	3	0	1	4	4	0	1	0	0	0	0	0	1	0	0	0	0	1	2
